sira,kelime,artikel,cogul,genitiv_tekil,frekans,coklu_anlam_uyari
8364,Empfängnis,die,Empfängnisse,Empfängnis,142,
8365,Transformation,die,Transformationen,Transformation,142,
8366,Rute,die,Ruten,Rute,142,
8367,Basislager,das,Basislager,Basislagers,142,
8368,Napalm,das,-,Napalms,142,
8369,Misere,die,Miseren,Misere,142,
8370,Einnahme,die,Einnahmen,Einnahme,142,
8371,Ohrläppchen,das,Ohrläppchen,Ohrläppchens,142,
8372,Dussel,der,Dussel,Dussels,142,
8373,Kriegsgefangene,die,-,-,142,
8374,Lyrik,die,-,Lyrik,142,
8375,Hagel,der,-,Hagels,142,
8376,Meerschweinchen,das,Meerschweinchen,Meerschweinchens,142,
8377,Buchs,der,Buchse,Buchs,142,
8378,Einlass,der,Einlässe,Einlasses,142,
8379,Dienstagabend,der,Dienstagabende,Dienstagabends,142,
8380,Fallschirmspringer,der,Fallschirmspringer,Fallschirmspringers,142,
8381,Testperson,die,Testpersonen,Testperson,142,
8382,Tablet,das,Tablets,Tablets,142,
8383,Minze,die,Minzen,Minze,142,
8384,Turnen,das,-,Turnens,142,
8385,Raffinerie,die,Raffinerien,Raffinerie,142,
8386,Radfahren,das,-,Radfahrens,142,
8387,Ingwer,der,Ingwer,Ingwers,141,
8388,Antiquität,die,Antiquitäten,Antiquität,141,
8389,Müllmann,der,-,Müllmannes,141,
8390,Gesprächspartner,der,Gesprächspartner,Gesprächspartners,141,
8391,Este,der,Esten,Esten,141,"EVET - iki farkli cinsiyeti var, kontrol et"
8392,Erschaffung,die,Erschaffungen,Erschaffung,141,
8393,Spartaner,der,Spartaner,Spartaners,141,
8394,Zeche,die,Zechen,Zeche,141,
8395,Eiswasser,das,-,Eiswassers,141,
8396,Verwesung,die,Verwesungen,Verwesung,141,
8397,Krawall,der,Krawalle,Krawalls,141,
8398,Schramme,die,Schrammen,Schramme,141,
8399,Eingangshalle,die,Eingangshallen,Eingangshalle,141,
8400,Kommentator,der,Kommentatoren,Kommentators,141,
8401,Lakritze,die,Lakritzen,Lakritze,141,
8402,Rappen,der,Rappen,Rappen,141,
8403,Schatzkarte,die,Schatzkarten,Schatzkarte,141,
8404,Tannenbaum,der,Tannenbäume,Tannenbaums,141,
8405,Differenz,die,Differenzen,Differenz,141,
8406,Schaukelstuhl,der,Schaukelstühle,Schaukelstuhles,141,
8407,Stadträtin,die,Stadträtinnen,Stadträtin,141,
8408,Untier,das,Untiere,Untiers,141,
8409,Zeitungsartikel,der,Zeitungsartikel,Zeitungsartikels,141,
8410,Akkordeon,das,Akkordeons,Akkordeons,141,
8411,Kontrollfreak,der,Kontrollfreaks,Kontrollfreaks,141,
8412,Hausnummer,die,Hausnummern,Hausnummer,141,
8413,Vordergrund,der,Vordergründe,Vordergrundes,141,
8414,Fahrwerk,das,Fahrwerke,Fahrwerkes,141,
8415,Garn,das,Garne,Garns,141,
8416,Schlaflied,das,Schlaflieder,Schlaflieds,141,
8417,Frachtschiff,das,Frachtschiffe,Frachtschiffes,141,
8418,Riesenerfolg,der,Riesenerfolge,Riesenerfolges,141,
8419,Antichrist,der,-,Antichristen,141,
8420,Familienname,der,Familiennamen,Familiennamens,141,
8421,Bergmann,der,Bergmänner,Bergmanns,141,
8422,Liebeslied,das,Liebeslieder,Liebesliedes,141,
8423,Dosierung,die,Dosierungen,Dosierung,140,
8424,Mentorin,die,Mentorinnen,Mentorin,140,
8425,Treibsand,der,-,Treibsands,140,
8426,Prestige,das,-,Prestige,140,
8427,Geschworener,der,-,-,140,
8428,Tupfer,der,Tupfer,Tupfers,140,
8429,Erstsemester,das,Erstsemester,Erstsemesters,140,
8430,Euphorie,die,Euphorien,Euphorie,140,
8431,Paddel,das,Paddel,Paddels,140,
8432,Samstagmorgen,der,Samstagmorgen,Samstagmorgens,140,
8433,Gravitation,die,-,Gravitation,140,
8434,Müllwagen,der,-,Müllwagens,140,
8435,Hülse,die,Hülsen,Hülse,140,
8436,Unterbringung,die,Unterbringungen,Unterbringung,140,
8437,Papperlapapp,das,-,Papperlapapps,140,
8438,Sentimentalität,die,Sentimentalitäten,Sentimentalität,140,
8439,Kline,die,Klinen,Kline,140,
8440,Sohle,die,Sohlen,Sohle,140,
8441,Talon,der,Talons,Talons,140,
8442,Kreation,die,Kreationen,Kreation,140,
8443,Weltmeisterschaft,die,Weltmeisterschaften,Weltmeisterschaft,140,
8444,Fänger,der,Fänger,Fängers,140,
8445,Augenarzt,der,Augenärzte,Augenarztes,140,
8446,Schusswaffe,die,Schusswaffen,Schusswaffe,140,
8447,Geltung,die,-,Geltung,140,
8448,Revision,die,Revisionen,Revision,140,
8449,Gespann,das,Gespanne,Gespanns,140,
8450,Hausverbot,das,Hausverbote,Hausverbotes,140,
8451,Hazienda,die,-,Hazienda,140,
8452,Grundstein,der,Grundsteine,Grundsteins,140,
8453,Schmeichler,der,Schmeichler,Schmeichlers,140,
8454,Beisein,das,-,Beiseins,140,
8455,Rivalität,die,Rivalitäten,Rivalität,140,
8456,Gebräu,das,Gebräue,Gebräus,140,
8457,Skull,das,Skulls,Skulls,140,
8458,Brüderlichkeit,die,Brüderlichkeiten,Brüderlichkeit,140,
8459,Hinterland,das,-,Hinterlands,140,
8460,Trio,das,Trios,Trios,140,
8461,Trojaner,der,Trojaner,Trojaners,140,
8462,Hocke,die,Hocken,Hocke,140,
8463,Wassermann,der,Wassermänner,Wassermanns,139,
8464,Spielzimmer,das,Spielzimmer,Spielzimmers,139,
8465,Kriegsgefangener,der,-,-,139,
8466,Schnösel,der,Schnösel,Schnösels,139,
8467,Aufgebot,das,Aufgebote,Aufgebotes,139,
8468,Rückbank,die,Rückbänke,Rückbank,139,
8469,Intellektueller,der,-,-,139,
8470,Schuldgefühl,das,Schuldgefühle,Schuldgefühles,139,
8471,Katzenfutter,das,Katzenfutter,Katzenfutters,139,
8472,Brasilianer,der,Brasilianer,Brasilianers,139,
8473,Perversion,die,Perversionen,Perversion,139,
8474,Tourismus,der,-,Tourismus,139,
8475,Monopol,das,Monopole,Monopols,139,"EVET - iki farkli cinsiyeti var, kontrol et"
8476,Geldverschwendung,die,Geldverschwendungen,Geldverschwendung,139,
8477,Puppenhaus,das,Puppenhäuser,Puppenhauses,139,
8478,Höllenfeuer,das,Höllenfeuer,Höllenfeuers,139,
8479,Pacht,die,Pachten,Pacht,139,
8480,Besoffener,der,-,-,139,
8481,Wrestler,der,Wrestler,Wrestlers,139,
8482,Schadensersatz,der,-,Schadensersatzes,139,
8483,Patentante,die,Patentanten,Patentante,139,
8484,Laufschritt,der,-,Laufschritts,139,
8485,Astronomie,die,-,Astronomie,139,
8486,Schampus,der,-,Schampus,139,
8487,Auktionshaus,das,Auktionshäuser,Auktionshauses,139,
8488,Simse,die,Simsen,Simse,139,
8489,Vollendung,die,Vollendungen,Vollendung,139,
8490,Makrele,die,Makrelen,Makrele,139,
8491,Zusatzartikel,der,Zusatzartikel,Zusatzartikels,139,
8492,Geschlechtskrankheit,die,Geschlechtskrankheiten,Geschlechtskrankheit,139,
8493,Boje,die,Bojen,Boje,139,
8494,Blazer,der,Blazer,Blazers,139,
8495,Krankenzimmer,das,Krankenzimmer,Krankenzimmers,139,
8496,Hammel,der,Hammel,Hammels,139,
8497,Schiri,der,Schiris,Schiris,139,
8498,Kerbe,die,Kerben,Kerbe,139,
8499,Radon,das,-,Radons,139,
8500,Blutspur,die,Blutspuren,Blutspur,139,
8501,Gerber,der,Gerber,Gerbers,139,
8502,Balkan,der,-,Balkans,138,
8503,Spasti,der,Spastis,Spastis,138,
8504,Geisterstadt,die,Geisterstädte,Geisterstadt,138,
8505,Gazette,die,Gazetten,Gazette,138,
8506,Brennholz,das,Brennhölzer,Brennholzes,138,
8507,Wachsamkeit,die,-,Wachsamkeit,138,
8508,Schwerverbrecher,der,Schwerverbrecher,Schwerverbrechers,138,
8509,Röhrchen,das,Röhrchen,Röhrchens,138,
8510,Harmonische,die,Harmonischen,Harmonischen,138,
8511,Vokabular,das,Vokabulare,Vokabulars,138,
8512,Grobian,der,Grobiane,Grobians,138,
8513,Fröhlichkeit,die,-,Fröhlichkeit,138,
8514,Armageddon,das,-,Armageddons,138,
8515,Fossil,das,Fossilien,Fossils,138,
8516,Buchhalterin,die,Buchhalterinnen,Buchhalterin,138,
8517,Stoppuhr,die,Stoppuhren,Stoppuhr,138,
8518,Sakrament,das,Sakramente,Sakraments,138,
8519,Lilie,die,Lilien,Lilie,138,
8520,Gelüste,das,Gelüste,Gelüstes,138,
8521,Zopf,der,Zöpfe,Zopfes,138,
8522,Hürde,die,Hürden,Hürde,138,
8523,Erbse,die,Erbsen,Erbse,138,
8524,Ruß,der,Ruße,Rußes,138,
8525,Bücherregal,das,Bücherregale,Bücherregales,138,
8526,Rasierwasser,das,-,Rasierwassers,138,
8527,Iraner,der,Iraner,Iraners,138,
8528,Teufelskreis,der,Teufelskreise,Teufelskreises,138,
8529,Andromeda,die,-,Andromedas,138,
8530,Verschmelzung,die,Verschmelzungen,Verschmelzung,138,
8531,Pep,der,-,Pep,138,
8532,Klapperschlange,die,Klapperschlangen,Klapperschlange,138,
8533,Schmuggelware,die,Schmuggelwaren,Schmuggelware,138,
8534,Preisschild,das,Preisschilder,Preisschildes,137,
8535,Liebesnest,das,Liebesnester,Liebesnestes,137,
8536,Kartei,die,Karteien,Kartei,137,
8537,Gefängnisdirektor,der,Gefängnisdirektoren,Gefängnisdirektors,137,
8538,Stürmer,der,Stürmer,Stürmers,137,
8539,Poststelle,die,Poststellen,Poststelle,137,
8540,Ausgrabung,die,Ausgrabungen,Ausgrabung,137,
8541,Tierklinik,die,Tierkliniken,Tierklinik,137,
8542,Ausruf,der,Ausrufe,Ausrufs,137,
8543,Schnürchen,das,Schnürchen,Schnürchens,137,
8544,Promi,der,Promis,Promis,137,"EVET - iki farkli cinsiyeti var, kontrol et"
8545,Herangehensweise,die,Herangehensweisen,Herangehensweise,137,
8546,Widder,der,Widder,Widders,137,
8547,Slick,der,Slicks,Slicks,137,
8548,Pedal,das,Pedale,Pedals,137,
8549,Widersacher,der,Widersacher,Widersachers,137,
8550,Quadrant,der,Quadranten,Quadranten,137,
8551,Grünzeug,das,-,Grünzeuges,137,
8552,Wettlauf,der,Wettläufe,Wettlaufes,137,
8553,Schatzmeister,der,Schatzmeister,Schatzmeisters,137,
8554,Steuerhinterziehung,die,Steuerhinterziehungen,Steuerhinterziehung,137,
8555,Rektorin,die,Rektorinnen,Rektorin,137,
8556,Wermut,der,Wermuts,Wermuts,137,
8557,Einkaufswagen,der,-,Einkaufswagens,137,
8558,Konsum,der,-,Konsums,137,
8559,Esstisch,der,Esstische,Esstisches,137,
8560,Baufirma,die,Baufirmen,Baufirma,137,
8561,Teamgeist,der,-,Teamgeistes,137,
8562,Waschanlage,die,Waschanlagen,Waschanlage,137,
8563,Prothese,die,Prothesen,Prothese,137,
8564,Plankton,das,-,Planktons,137,
8565,Store,der,Stores,Stores,137,
8566,Leichtsinn,der,-,Leichtsinns,137,
8567,Comte,der,Comtes,Comte,137,
8568,Schund,der,-,Schunds,137,
8569,Treuhandfonds,der,Treuhandfonds,Treuhandfonds,137,
8570,Unterschlagung,die,Unterschlagungen,Unterschlagung,137,
8571,Paragraf,der,Paragrafen,Paragrafen,137,
8572,Schießeisen,das,Schießeisen,Schießeisens,136,
8573,Schelm,der,Schelme,Schelmes,136,
8574,Umwandlung,die,Umwandlungen,Umwandlung,136,
8575,Dunkelkammer,die,Dunkelkammern,Dunkelkammer,136,
8576,Pinzette,die,Pinzetten,Pinzette,136,
8577,Steppe,die,Steppen,Steppe,136,
8578,Verhaltensmuster,das,Verhaltensmuster,Verhaltensmusters,136,
8579,Clip,der,Clips,Clips,136,
8580,Landeanflug,der,Landeanflüge,Landeanfluges,136,
8581,Kapitalverbrechen,das,Kapitalverbrechen,Kapitalverbrechens,136,
8582,Warteraum,der,Warteräume,Warteraums,136,
8583,Kundschafter,der,Kundschafter,Kundschafters,136,
8584,Flieder,der,Flieder,Flieders,136,
8585,Fischerboot,das,Fischerboote,Fischerbootes,136,
8586,Sparte,die,Sparten,Sparte,136,
8587,Menschenfreund,der,Menschenfreunde,Menschenfreundes,136,
8588,Waffenhandel,der,-,Waffenhandels,136,
8589,Weigerung,die,Weigerungen,Weigerung,136,
8590,Einsatzleiter,der,Einsatzleiter,Einsatzleiters,136,
8591,Asbest,der,Asbeste,Asbestes,136,
8592,Süchtige,die,-,-,136,
8593,Observatorium,das,Observatorien,Observatoriums,136,
8594,Batzen,der,Batzen,Batzens,136,
8595,Schnuller,der,Schnuller,Schnullers,136,
8596,Bader,der,Bader,Baders,136,
8597,Rationale,das,Rationalien,Rationale,136,
8598,Libido,die,-,Libido,136,
8599,Überlebender,der,-,-,136,
8600,Springbrunnen,der,Springbrunnen,Springbrunnens,136,
8601,Rückzahlung,die,Rückzahlungen,Rückzahlung,136,
8602,Attest,das,Atteste,Attests,136,
8603,Fond,der,Fonds,Fonds,136,
8604,Fetisch,der,Fetische,Fetisches,136,
8605,Billardtisch,der,Billardtische,Billardtischs,136,
8606,Schamgefühl,das,Schamgefühle,Schamgefühles,136,
8607,Schamane,der,Schamanen,Schamanen,136,
8608,Zumutung,die,Zumutungen,Zumutung,136,
8609,Feindin,die,Feindinnen,Feindin,136,
8610,Telefonrechnung,die,Telefonrechnungen,Telefonrechnung,136,
8611,Tennisplatz,der,Tennisplätze,Tennisplatzes,136,
8612,Überführung,die,Überführungen,Überführung,135,
8613,Gehilfe,der,Gehilfen,Gehilfen,135,
8614,Grundbesitz,der,-,Grundbesitzes,135,
8615,Blöken,das,-,Blökens,135,
8616,Kaiserreich,das,Kaiserreiche,Kaiserreiches,135,
8617,Eichen,das,Eichen,Eichens,135,
8618,Mistelzweig,der,Mistelzweige,Mistelzweiges,135,
8619,Schmier,die,Schmieren,Schmier,135,
8620,Tanga,der,Tangas,Tangas,135,
8621,Krematorium,das,Krematorien,Krematoriums,135,
8622,Grapefruit,die,Grapefruits,Grapefruit,135,
8623,Goldmedaille,die,Goldmedaillen,Goldmedaille,135,
8624,Südosten,der,-,Südostens,135,
8625,Melancholie,die,Melancholien,Melancholie,135,
8626,Kundgebung,die,Kundgebungen,Kundgebung,135,
8627,Untat,die,Untaten,Untat,135,
8628,Anhöhe,die,Anhöhen,Anhöhe,135,
8629,Handicap,das,Handicaps,Handicaps,135,
8630,Abstinenz,die,-,Abstinenz,135,
8631,Eispickel,der,Eispickel,Eispickels,135,
8632,Konkurrent,der,Konkurrenten,Konkurrenten,135,
8633,Konföderation,die,Konföderationen,Konföderation,135,
8634,Oberstufe,die,Oberstufen,Oberstufe,135,
8635,Übernachtung,die,Übernachtungen,Übernachtung,135,
8636,Stiefsohn,der,Stiefsöhne,Stiefsohns,135,
8637,Unzufriedenheit,die,-,Unzufriedenheit,135,
8638,Vorrecht,das,Vorrechte,Vorrechtes,135,
8639,Meeresboden,der,Meeresböden,Meeresbodens,135,
8640,Feindschaft,die,Feindschaften,Feindschaft,135,
8641,Trouble,der,Troubles,Troubles,135,
8642,Holzweg,der,Holzwege,Holzweges,135,
8643,Hauptfigur,die,Hauptfiguren,Hauptfigur,135,
8644,Nachtklub,der,Nachtklubs,Nachtklubs,135,
8645,Landleben,das,Landleben,Landlebens,135,
8646,Notfallplan,der,Notfallpläne,Notfallplanes,135,
8647,Königsfamilie,die,Königsfamilien,Königsfamilie,135,
8648,Überlebenschance,die,Überlebenschancen,Überlebenschance,134,
8649,Stadtverwaltung,die,Stadtverwaltungen,Stadtverwaltung,134,
8650,Nike,die,-,-,134,
8651,Angehöriger,der,-,-,134,
8652,Button,der,Buttons,Buttons,134,
8653,Hitzewelle,die,Hitzewellen,Hitzewelle,134,
8654,Hirntumor,der,-,Hirntumors,134,
8655,Schisser,der,Schisser,Schissers,134,
8656,Queue,die,Queues,Queue,134,
8657,Knopfdruck,der,Knopfdrücke,Knopfdrucks,134,
8658,Heldentat,die,Heldentaten,Heldentat,134,
8659,Vernissage,die,Vernissagen,Vernissage,134,
8660,Verfasser,der,Verfasser,Verfassers,134,
8661,Beißer,der,Beißer,Beißers,134,
8662,Wiedereintritt,der,Wiedereintritte,Wiedereintritts,134,
8663,Genre,das,Genres,Genres,134,
8664,Radieschen,das,Radieschen,Radieschens,134,
8665,Strafverteidiger,der,Strafverteidiger,Strafverteidigers,134,
8666,Weihnachtstag,der,Weihnachtstage,Weihnachtstages,134,
8667,Hochzeitstorte,die,Hochzeitstorten,Hochzeitstorte,134,
8668,Heimfahrt,die,Heimfahrten,Heimfahrt,134,
8669,Tröpfchen,das,Tröpfchen,Tröpfchens,134,
8670,Nemesis,die,-,Nemesis,134,
8671,Planke,die,Planken,Planke,134,
8672,Gör,das,Gören,Görs,134,
8673,AStA,der,-,AStA,134,
8674,Vorurteil,das,Vorurteile,Vorurteils,134,
8675,Leda,die,-,Leda,134,
8676,Fragment,das,Fragmente,Fragmentes,134,
8677,Schmelze,die,Schmelzen,Schmelze,134,
8678,Nachrichtensprecher,der,Nachrichtensprecher,Nachrichtensprechers,133,
8679,Minna,die,Minnas,Minna,133,
8680,Saxophon,das,Saxophone,Saxophons,133,
8681,Flugzeugträger,der,Flugzeugträger,Flugzeugträgers,133,
8682,Tulpe,die,Tulpen,Tulpe,133,
8683,Sichtung,die,Sichtungen,Sichtung,133,
8684,Wunschdenken,das,-,Wunschdenkens,133,
8685,Orkan,der,Orkane,Orkans,133,
8686,Todeszelle,die,Todeszellen,Todeszelle,133,
8687,Mango,die,-,Mango,133,
8688,Abscheulichkeit,die,Abscheulichkeiten,Abscheulichkeit,133,
8689,Xbox,die,-,Xbox,133,
8690,Dressing,das,Dressings,Dressings,133,
8691,Regisseurin,die,Regisseurinnen,Regisseurin,133,
8692,Unmensch,der,Unmenschen,Unmenschen,133,
8693,Bußgeld,das,Bußgelder,Bußgeldes,133,
8694,Niedergang,der,Niedergänge,Niederganges,133,
8695,Doku,die,Dokus,Doku,133,
8696,Exkursion,die,Exkursionen,Exkursion,133,
8697,Risotto,der,-,Risotto,133,
8698,Blabla,das,-,Blablas,133,
8699,Prüfer,der,Prüfer,Prüfers,133,
8700,Rosenkohl,der,-,Rosenkohls,133,
8701,Schachspiel,das,Schachspiele,Schachspiels,133,
8702,Schreiner,der,Schreiner,Schreiners,133,
8703,Lotion,die,-,Lotion,133,
8704,Vorstandssitzung,die,Vorstandssitzungen,Vorstandssitzung,133,
8705,Beam,der,Beams,Beams,133,
8706,Bruchlandung,die,Bruchlandungen,Bruchlandung,133,
8707,Genetik,die,-,Genetik,133,
8708,Telefongespräch,das,Telefongespräche,Telefongespräches,133,
8709,Einhalt,der,-,Einhalts,133,
8710,Pathologe,der,Pathologen,Pathologen,133,
8711,Kollaps,der,Kollapse,Kollapses,133,
8712,Koordination,die,Koordinationen,Koordination,133,
8713,Verb,das,Verben,Verbes,133,
8714,Kutte,die,Kutten,Kutte,133,
8715,Klette,die,Kletten,Klette,133,
8716,Gockel,der,Gockel,Gockels,133,
8717,Bundesgericht,das,Bundesgerichte,Bundesgerichtes,133,
8718,Eisschrank,der,Eisschränke,Eisschranks,133,
8719,Elan,der,-,Elans,132,
8720,Schiefe,die,Schiefen,Schiefe,132,
8721,Kräutertee,der,Kräutertees,Kräutertees,132,
8722,Stretch,der,Stretches,Stretches,132,
8723,Jackentasche,die,Jackentaschen,Jackentasche,132,
8724,Bombardierung,die,Bombardierungen,Bombardierung,132,
8725,E-Mail-Adresse,die,E-Mail-Adressen,E-Mail-Adresse,132,
8726,Abspann,der,Abspanne,Abspannes,132,
8727,Pedale,die,Pedalen,Pedale,132,
8728,Fahrgast,der,Fahrgäste,Fahrgastes,132,
8729,Punch,der,Punchs,Punchs,132,
8730,Kühnheit,die,Kühnheiten,Kühnheit,132,
8731,Videoüberwachung,die,Videoüberwachungen,Videoüberwachung,132,
8732,Ration,die,Rationen,Ration,132,
8733,Telefonleitung,die,Telefonleitungen,Telefonleitung,132,
8734,Autismus,der,-,Autismus,132,
8735,Klausur,die,Klausuren,Klausur,132,
8736,Seitenstraße,die,Seitenstraßen,Seitenstraße,132,
8737,Viertelmillion,die,Viertelmillionen,Viertelmillion,132,
8738,Enzyklopädie,die,Enzyklopädien,Enzyklopädie,132,
8739,Leitungswasser,das,-,Leitungswassers,132,
8740,Unze,die,Unzen,Unze,132,
8741,Fleischwunde,die,Fleischwunden,Fleischwunde,132,
8742,Anfängerin,die,Anfängerinnen,Anfängerin,132,
8743,Ohrstöpsel,der,Ohrstöpsel,Ohrstöpsels,132,
8744,Verzeichnis,das,Verzeichnisse,Verzeichnisses,132,
8745,Glasur,die,Glasuren,Glasur,132,
8746,Warnschuss,der,Warnschüsse,Warnschusses,132,
8747,Bowle,die,Bowlen,Bowle,131,
8748,Erntedankfest,das,Erntedankfeste,Erntedankfestes,131,
8749,Amin,das,Amine,Amins,131,
8750,Nebenjob,der,Nebenjobs,Nebenjobs,131,
8751,Naive,die,-,-,131,
8752,Hausbesitzer,der,Hausbesitzer,Hausbesitzers,131,
8753,Hauptdarstellerin,die,Hauptdarstellerinnen,Hauptdarstellerin,131,
8754,Fettwanst,der,Fettwänste,Fettwanstes,131,
8755,Reibe,die,Reiben,Reibe,131,
8756,Einerlei,das,-,Einerleis,131,
8757,Beharrlichkeit,die,-,Beharrlichkeit,131,
8758,Psychoanalyse,die,Psychoanalysen,Psychoanalyse,131,
8759,Zuschlag,der,Zuschläge,Zuschlages,131,
8760,Lehrerzimmer,das,Lehrerzimmer,Lehrerzimmers,131,
8761,Transvestit,der,Transvestiten,Transvestiten,131,
8762,Leihmutter,die,Leihmütter,Leihmutter,131,
8763,Veruntreuung,die,Veruntreuungen,Veruntreuung,131,
8764,Wollust,die,Wollüste,Wollust,131,
8765,Ostfront,die,Ostfronten,Ostfront,131,
8766,Speiseröhre,die,Speiseröhren,Speiseröhre,131,
8767,Hausaufgabe,die,Hausaufgaben,Hausaufgabe,131,
8768,Schadenersatz,der,-,Schadenersatzes,131,
8769,Baht,der,Baht,Baht,131,
8770,Tenor,der,-,Tenors,131,
8771,Ausrottung,die,Ausrottungen,Ausrottung,131,
8772,Autobombe,die,Autobomben,Autobombe,131,
8773,Fingernagel,der,Fingernägel,Fingernagels,131,
8774,Geweih,das,Geweihe,Geweihes,131,
8775,Geschäftsleitung,die,Geschäftsleitungen,Geschäftsleitung,131,
8776,Koalition,die,Koalitionen,Koalition,131,
8777,Tadel,der,Tadel,Tadels,131,
8778,Tomatensaft,der,Tomatensäfte,Tomatensaftes,131,
8779,Verletzter,der,-,-,131,
8780,Rittmeister,der,Rittmeister,Rittmeisters,131,
8781,Maskerade,die,Maskeraden,Maskerade,131,
8782,Gefriertruhe,die,Gefriertruhen,Gefriertruhe,131,
8783,Getöse,das,-,Getöses,131,
8784,Outen,das,-,Outens,131,
8785,Faible,das,Faibles,Faibles,130,
8786,Enzym,das,Enzyme,Enzymes,130,
8787,Hochsicherheitsgefängnis,das,Hochsicherheitsgefängnisse,Hochsicherheitsgefängnisses,130,
8788,Herzleiden,das,Herzleiden,Herzleidens,130,
8789,Drucke,die,Drucken,Drucke,130,
8790,Interessenkonflikt,der,Interessenkonflikte,Interessenkonflikts,130,
8791,Traumwelt,die,Traumwelten,Traumwelt,130,
8792,Traumjob,der,Traumjobs,Traumjobs,130,
8793,Seifenoper,die,Seifenopern,Seifenoper,130,
8794,Betrachtung,die,Betrachtungen,Betrachtung,130,
8795,Erdling,der,Erdlinge,Erdlings,130,
8796,Fuhre,die,Fuhren,Fuhre,130,
8797,Stuck,der,-,Stucks,130,
8798,Fruchtbarkeit,die,-,Fruchtbarkeit,130,
8799,Pampa,die,Pampas,Pampa,130,
8800,Adria,die,-,Adria,130,
8801,Zwietracht,die,Zwietrachten,Zwietracht,130,
8802,Abtrünnige,die,-,-,130,
8803,Dienstgrad,der,Dienstgrade,Dienstgrades,130,
8804,Dill,der,Dille,Dilles,130,"EVET - iki farkli cinsiyeti var, kontrol et"
8805,Brüller,der,Brüller,Brüllers,130,
8806,Pergament,das,Pergamente,Pergaments,130,
8807,Vaterunser,das,Vaterunser,Vaterunsers,130,
8808,Nachdruck,der,Nachdrucke,Nachdruckes,130,
8809,Vorfreude,die,Vorfreuden,Vorfreude,130,
8810,Ahornsirup,der,-,Ahornsirups,130,
8811,Tschechoslowakei,die,-,Tschechoslowakei,130,
8812,Siegerin,die,Siegerinnen,Siegerin,130,
8813,Rindvieh,das,Rindviecher,Rindviehs,130,
8814,Sprungbrett,das,Sprungbretter,Sprungbrettes,130,
8815,Gesandter,der,-,-,130,
8816,Nationalität,die,Nationalitäten,Nationalität,130,
8817,Berechtigung,die,Berechtigungen,Berechtigung,130,
8818,Heiligenschein,der,Heiligenscheine,Heiligenscheins,130,
8819,Indra,der,-,Indra,130,
8820,Kontrast,der,Kontraste,Kontrasts,130,
8821,Einweihung,die,Einweihungen,Einweihung,130,
8822,Glitzer,der,-,Glitzers,130,
8823,Gleichschritt,der,-,Gleichschritts,130,
8824,Steigerung,die,Steigerungen,Steigerung,130,
8825,Aufrührer,der,Aufrührer,Aufrührers,130,
8826,Bizeps,der,Bizepse,Bizeps,130,
8827,Großtante,die,Großtanten,Großtante,130,
8828,Straßenlärm,der,-,Straßenlärms,130,
8829,Guthaben,das,Guthaben,Guthabens,130,
8830,Scheideweg,der,Scheidewege,Scheidewegs,130,
8831,Würdenträger,der,Würdenträger,Würdenträgers,129,
8832,Hochzeitsfeier,die,Hochzeitsfeiern,Hochzeitsfeier,129,
8833,Ergänzung,die,Ergänzungen,Ergänzung,129,
8834,Mafioso,der,Mafiosi,Mafioso,129,
8835,Hauptgang,der,Hauptgänge,Hauptganges,129,
8836,Felsbrocken,der,Felsbrocken,Felsbrockens,129,
8837,Bügel,der,Bügel,Bügels,129,
8838,Gesprächsthema,das,Gesprächsthemen,Gesprächsthemas,129,
8839,Umleitung,die,Umleitungen,Umleitung,129,
8840,Ladegerät,das,Ladegeräte,Ladegerätes,129,
8841,Rosmarin,der,-,Rosmarins,129,
8842,Errungenschaft,die,Errungenschaften,Errungenschaft,129,
8843,Bleichmittel,das,Bleichmittel,Bleichmittels,129,
8844,Medea,die,-,-,129,
8845,Stromrechnung,die,Stromrechnungen,Stromrechnung,129,
8846,Verzicht,der,Verzichte,Verzichtes,129,
8847,Tanke,die,Tanken,Tanke,129,
8848,Meningitis,die,Meningitiden,Meningitis,129,
8849,Logis,das,Logis,Logis,129,
8850,Methan,das,-,Methans,129,
8851,Schlachtschiff,das,Schlachtschiffe,Schlachtschiffes,129,
8852,Schliff,der,Schliffe,Schliffes,129,
8853,Qualm,der,-,Qualms,129,
8854,Mongo,der,Mongos,Mongos,129,
8855,Biographie,die,Biographien,Biographie,129,
8856,Staatsbürgerschaft,die,Staatsbürgerschaften,Staatsbürgerschaft,129,
8857,SIM-Karte,die,SIM-Karten,SIM-Karte,129,
8858,WG,die,-,WG,129,
8859,Stundenplan,der,Stundenpläne,Stundenplans,129,
8860,Import,der,Importe,Importes,129,
8861,Mokka,der,Mokkas,Mokkas,129,
8862,Auster,die,Austern,Auster,129,
8863,Argus,der,Argusse,Argus,129,
8864,Teelöffel,der,Teelöffel,Teelöffels,129,
8865,Konfetti,das,-,Konfetti,129,
8866,Halbfinale,das,Halbfinale,Halbfinales,129,
8867,Golem,der,Golems,Golem,129,
8868,Körperkontakt,der,Körperkontakte,Körperkontaktes,129,
8869,Nabel,der,Nabel,Nabels,129,
8870,Pantomime,die,Pantomimen,Pantomime,129,"EVET - iki farkli cinsiyeti var, kontrol et"
8871,Ostflügel,der,Ostflügel,Ostflügels,129,
8872,Satellitentelefon,das,Satellitentelefone,Satellitentelefons,129,
8873,Ostsee,die,-,Ostsee,129,
